"","game_id","data_set","date","a1","a2","a3","a4","a5","h1","h2","h3","h4","h5","period","away_score","home_score","remaining_time","elapsed","play_length","play_id","team","event_type","assist","away","home","block","entered","left","num","opponent","outof","player","points","possession","reason","result","steal","type","shot_distance","original_x","original_y","converted_x","converted_y","description"
"312","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Evan Fournier","Shabazz Napier","Andrew Nicholson","Jason Smith","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,89,"00:10:05","00:01:55","00:00:11",356,"ORL","miss","","","","","","",NA,"",NA,"Jason Smith",0,"","","missed","","Jump Shot",20,-135,154,38.5,20.4,"MISS Smith 20' Jump Shot"
"314","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Evan Fournier","Shabazz Napier","Andrew Nicholson","Jason Smith","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,89,"00:09:57","00:02:03","00:00:07",358,"DET","miss","","","","","","",NA,"",NA,"Brandon Jennings",0,"","","missed","","Layup",1,-1,7,24.9,88.3,"MISS Jennings 1' Layup"
"316","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Evan Fournier","Shabazz Napier","Andrew Nicholson","Jason Smith","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,91,"00:09:53","00:02:07","00:00:04",360,"DET","shot","","","","","","",NA,"",NA,"Aron Baynes",2,"","","made","","unknown",0,1,-1,25.1,89.1,"Baynes  Tip Layup Shot (6 PTS)"
"317","=""0021500514""","2015-2016 Regular Season","2016-01-04","Tobias Harris","Evan Fournier","Shabazz Napier","Andrew Nicholson","Jason Smith","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,91,"00:09:38","00:02:22","00:00:15",361,"ORL","miss","","","","","","",NA,"",NA,"Jason Smith",0,"","","missed","","Layup",0,4,-1,24.6,4.9,"MISS Smith  Layup"
"321","=""0021500514""","2015-2016 Regular Season","2016-01-04","Evan Fournier","Shabazz Napier","Andrew Nicholson","Jason Smith","Victor Oladipo","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,91,"00:09:08","00:02:52","00:00:12",365,"DET","miss","","","","","","",NA,"",NA,"Anthony Tolliver",0,"","","missed","","Jump Shot",26,127,232,37.7,65.8,"MISS Tolliver 26' 3PT Jump Shot"
"323","=""0021500514""","2015-2016 Regular Season","2016-01-04","Evan Fournier","Shabazz Napier","Andrew Nicholson","Jason Smith","Victor Oladipo","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,93,"00:09:02","00:02:58","00:00:06",367,"DET","shot","Aron Baynes","","","","","",NA,"",NA,"Anthony Tolliver",2,"","","made","","Reverse Layup",0,0,-1,25,89.1,"Tolliver  Reverse Layup (5 PTS) (Baynes 1 AST)"
"327","=""0021500514""","2015-2016 Regular Season","2016-01-04","Evan Fournier","Shabazz Napier","Victor Oladipo","Aaron Gordon","Dewayne Dedmon","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,93,"00:08:50","00:03:10","00:00:12",372,"ORL","miss","","","","","","",NA,"",NA,"Shabazz Napier",0,"","","missed","","Jump Shot",10,-97,36,34.7,8.6,"MISS Napier 10' Jump Shot"
"329","=""0021500514""","2015-2016 Regular Season","2016-01-04","Evan Fournier","Shabazz Napier","Victor Oladipo","Aaron Gordon","Dewayne Dedmon","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,93,"00:08:38","00:03:22","00:00:12",374,"ORL","miss","","","","Aron Baynes","","",NA,"",NA,"Victor Oladipo",0,"","","missed","","Jump Shot",6,63,8,18.7,5.8,"MISS Oladipo 6' Jump Shot, Baynes BLOCK (2 BLK)"
"331","=""0021500514""","2015-2016 Regular Season","2016-01-04","Evan Fournier","Shabazz Napier","Victor Oladipo","Aaron Gordon","Dewayne Dedmon","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,93,"00:08:30","00:03:30","00:00:06",376,"DET","miss","","","","","","",NA,"",NA,"Brandon Jennings",0,"","","missed","","Layup",1,-7,11,24.3,87.9,"MISS Jennings 1' Layup"
"337","=""0021500514""","2015-2016 Regular Season","2016-01-04","Evan Fournier","Shabazz Napier","Victor Oladipo","Aaron Gordon","Dewayne Dedmon","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,97,"00:07:58","00:04:02","00:00:06",384,"DET","shot","Brandon Jennings","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",2,"","","made","","Layup",1,-6,-6,24.4,89.6,"Caldwell-Pope 1' Layup (15 PTS) (Jennings 5 AST)"
"338","=""0021500514""","2015-2016 Regular Season","2016-01-04","Evan Fournier","Shabazz Napier","Victor Oladipo","Aaron Gordon","Dewayne Dedmon","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,97,"00:07:42","00:04:18","00:00:16",385,"ORL","miss","","","","","","",NA,"",NA,"Victor Oladipo",0,"","","missed","","Jump Shot",5,42,21,20.8,7.1,"MISS Oladipo 5' Jump Shot"
"340","=""0021500514""","2015-2016 Regular Season","2016-01-04","Evan Fournier","Shabazz Napier","Victor Oladipo","Aaron Gordon","Dewayne Dedmon","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,100,"00:07:36","00:04:24","00:00:06",387,"DET","shot","Brandon Jennings","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",3,"","","made","","Jump Shot",26,94,247,34.4,64.3,"Caldwell-Pope 26' 3PT Jump Shot (18 PTS) (Jennings 6 AST)"
"343","=""0021500514""","2015-2016 Regular Season","2016-01-04","Evan Fournier","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,100,"00:07:18","00:04:42","00:00:05",390,"ORL","miss","","","","","","",NA,"",NA,"Evan Fournier",0,"","","missed","","Jump Shot",24,227,82,2.3,13.2,"MISS Fournier 24' 3PT Jump Shot"
"345","=""0021500514""","2015-2016 Regular Season","2016-01-04","Evan Fournier","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,103,"00:07:06","00:04:54","00:00:12",392,"DET","shot","","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",3,"","","made","","Jump Shot",25,-212,139,3.8,75.1,"Caldwell-Pope 25' 3PT Jump Shot (21 PTS)"
"348","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,103,"00:06:46","00:05:14","00:00:20",395,"ORL","miss","","","","","","",NA,"",NA,"Andrew Nicholson",0,"","","missed","","Hook Shot",7,-74,0,32.4,5,"MISS Nicholson 7' Hook Shot"
"350","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,106,"00:06:38","00:05:22","00:00:07",397,"DET","shot","","","","","","",NA,"",NA,"Brandon Jennings",3,"","","made","","Jump Shot",26,-225,124,2.5,76.6,"Jennings 26' 3PT Jump Shot (14 PTS)"
"351","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,106,"00:06:23","00:05:37","00:00:15",398,"ORL","miss","","","","","","",NA,"",NA,"Shabazz Napier",0,"","","missed","","Layup",2,15,11,23.5,6.1,"MISS Napier 2' Layup"
"353","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,106,"00:06:13","00:05:47","00:00:08",400,"DET","miss","","","","","","",NA,"",NA,"Brandon Jennings",0,"","","missed","","Jump Shot",6,53,21,30.3,86.9,"MISS Jennings 6' Jump Shot"
"355","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,106,"00:06:06","00:05:54","00:00:07",402,"ORL","miss","","","","","","",NA,"",NA,"Shabazz Napier",0,"","","missed","","Jump Shot",15,-76,129,32.6,17.9,"MISS Napier 15' Jump Shot"
"357","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,106,"00:05:52","00:06:08","00:00:14",404,"DET","miss","","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",0,"","","missed","","Jump Shot",26,-222,131,2.8,75.9,"MISS Caldwell-Pope 26' 3PT Jump Shot"
"359","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,76,106,"00:05:51","00:06:09","00:00:01",406,"DET","miss","","","","","","",NA,"",NA,"Stanley Johnson",0,"","","missed","","Layup",0,1,2,25.1,88.8,"MISS Johnson  Layup"
"366","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,78,107,"00:05:27","00:06:33","00:00:24",416,"ORL","shot","","","","","","",NA,"",NA,"Shabazz Napier",2,"","","made","","Pullup Jump Shot",18,0,178,25,22.8,"Napier 18' Pullup Jump Shot (5 PTS)"
"367","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,78,110,"00:05:09","00:06:51","00:00:18",417,"DET","shot","Aron Baynes","","","","","",NA,"",NA,"Brandon Jennings",3,"","","made","","Jump Shot",23,-225,2,2.5,88.8,"Jennings  3PT Jump Shot (17 PTS) (Baynes 2 AST)"
"368","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,80,110,"00:04:43","00:07:17","00:00:26",418,"ORL","shot","","","","","","",NA,"",NA,"Mario Hezonja",2,"","","made","","Driving Hook Shot",5,4,51,24.6,10.1,"Hezonja 5' Driving Hook Shot (2 PTS)"
"369","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,80,110,"00:04:24","00:07:36","00:00:19",419,"DET","miss","","","","","","",NA,"",NA,"Brandon Jennings",0,"","","missed","","Jump Shot",26,-173,200,7.7,69,"MISS Jennings 26' 3PT Jump Shot"
"371","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,80,110,"00:04:16","00:07:44","00:00:08",421,"DET","miss","","","","","","",NA,"",NA,"Kentavious Caldwell-Pope",0,"","","missed","","Jump Shot",24,-238,11,1.2,87.9,"MISS Caldwell-Pope 24' 3PT Jump Shot"
"373","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Kentavious Caldwell-Pope","Stanley Johnson","Brandon Jennings","Aron Baynes","Anthony Tolliver",4,80,110,"00:04:02","00:07:58","00:00:14",423,"ORL","miss","","","","","","",NA,"",NA,"Aaron Gordon",0,"","","missed","","Jump Shot",26,235,110,1.5,16,"MISS Gordon 26' 3PT Jump Shot"
"380","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,80,110,"00:03:32","00:08:28","00:00:12",430,"ORL","miss","","","","","","",NA,"",NA,"Shabazz Napier",0,"","","missed","","Jump Shot",27,-166,208,41.6,25.8,"MISS Napier 27' 3PT Jump Shot"
"383","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,80,110,"00:03:25","00:08:35","00:00:07",433,"ORL","miss","","","","","","",NA,"",NA,"Mario Hezonja",0,"","","missed","","Jump Shot",15,-52,144,30.2,19.4,"MISS Hezonja 15' Jump Shot"
"385","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,80,110,"00:03:11","00:08:49","00:00:14",435,"DET","miss","","","","","","",NA,"",NA,"Reggie Bullock",0,"","","missed","","Jump Shot",19,-183,31,6.7,85.9,"MISS Bullock 19' Jump Shot"
"393","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,82,110,"00:02:05","00:09:55","00:00:14",446,"DET","miss","","","","Dewayne Dedmon","","",NA,"",NA,"Darrun Hilliard",0,"","","missed","","Jump Shot",5,9,46,25.9,84.4,"Dedmon BLOCK (1 BLK), MISS Hilliard 5' Jump Shot"
"395","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,82,110,"00:01:58","00:10:02","00:00:05",448,"DET","miss","","","","","","",NA,"",NA,"Darrun Hilliard",0,"","","missed","","Jump Shot",17,130,110,38,78,"MISS Hilliard 17' Jump Shot"
"397","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,82,112,"00:01:55","00:10:05","00:00:03",450,"DET","shot","Reggie Bullock","","","","","",NA,"",NA,"Anthony Tolliver",2,"","","made","","Jump Shot",19,153,106,40.3,78.4,"Tolliver 19' Jump Shot (7 PTS) (Bullock 1 AST)"
"398","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,84,112,"00:01:48","00:10:12","00:00:07",451,"ORL","shot","","","","","","",NA,"",NA,"Shabazz Napier",2,"","","made","","Pullup Jump Shot",19,159,95,9.1,14.5,"Napier 19' Pullup Jump Shot (7 PTS)"
"399","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,84,115,"00:01:34","00:10:26","00:00:14",452,"DET","shot","Steve Blake","","","","","",NA,"",NA,"Anthony Tolliver",3,"","","made","","Jump Shot",27,-89,252,16.1,63.8,"Tolliver 27' 3PT Jump Shot (10 PTS) (Blake 1 AST)"
"400","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,87,115,"00:01:19","00:10:41","00:00:15",453,"ORL","shot","Andrew Nicholson","","","","","",NA,"",NA,"Shabazz Napier",3,"","","made","","Jump Shot",24,230,56,2,10.6,"Napier 24' 3PT Jump Shot (10 PTS) (Nicholson 1 AST)"
"401","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,87,115,"00:00:59","00:11:01","00:00:20",454,"DET","miss","","","","","","",NA,"",NA,"Steve Blake",0,"","","missed","","Jump Shot",23,227,24,47.7,86.6,"MISS Blake  3PT Jump Shot"
"403","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,87,115,"00:00:51","00:11:09","00:00:08",456,"DET","miss","","","","Dewayne Dedmon","","",NA,"",NA,"Anthony Tolliver",0,"","","missed","","Jump Shot",5,45,16,29.5,87.4,"Dedmon BLOCK (2 BLK), MISS Tolliver 5' Jump Shot"
"405","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,87,115,"00:00:44","00:11:16","00:00:06",458,"ORL","miss","","","","","","",NA,"",NA,"Shabazz Napier",0,"","","missed","","Jump Shot",25,225,105,2.5,15.5,"MISS Napier 25' 3PT Jump Shot"
"407","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,87,115,"00:00:27","00:11:33","00:00:16",460,"DET","miss","","","","Dewayne Dedmon","","",NA,"",NA,"Joel Anthony",0,"","","missed","","Jump Shot",6,-55,13,19.5,87.7,"Dedmon BLOCK (3 BLK), MISS Anthony 6' Jump Shot"
"409","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,87,115,"00:00:07","00:11:53","00:00:20",462,"ORL","miss","","","","Joel Anthony","","",NA,"",NA,"Andrew Nicholson",0,"","","missed","","Layup",1,6,-1,24.4,4.9,"MISS Nicholson 1' Layup, Anthony BLOCK (1 BLK)"
"411","=""0021500514""","2015-2016 Regular Season","2016-01-04","Shabazz Napier","Aaron Gordon","Dewayne Dedmon","Mario Hezonja","Andrew Nicholson","Anthony Tolliver","Darrun Hilliard","Steve Blake","Reggie Bullock","Joel Anthony",4,89,115,"00:00:05","00:11:55","00:00:02",464,"ORL","shot","","","","","","",NA,"",NA,"Andrew Nicholson",2,"","","made","","Layup",0,4,-1,24.6,4.9,"Nicholson  Layup (14 PTS)"
